offspring_rattleprob,parent_midpoint,squirrel_id,Year
0.428571429,0.6,5764,2002
0.666666667,0,5515,2002
0.75,0,7166,2002
0.5,0,5626,2002
0.5,0.166666667,7609,2002
1,0.5625,5583,2002
1,0.625,5616,2002
0,0.25,5576,2002
1,0.555555556,5423,2002
1,0.6,6362,2002
0.2,0,6347,2002
1,0.6,5593,2002
0.333333333,0.375,6052,2002
0,0,5490,2002
0.333333333,0.625,5774,2002
0.8,0.5,6272,2002
0.666666667,0.166666667,5775,2002
1,0.090909091,5478,2002
0,0,5470,2002
1,0.166666667,5986,2002
0.333333333,0.5,5924,2002
0,0.333333333,7553,2002
0,0.25,7115,2002
0.461538462,0.1,6362,2003
0.571428571,0.230769231,6055,2003
0,0,6501,2003
0.333333333,0,7115,2003
0.75,0,5952,2003
0.166666667,0.2,7827,2003
0.4,0,5902,2003
0.25,0,7575,2003
0.666666667,0,5838,2003
0.333333333,0.183333333,7926,2003
0,0,6383,2003
0,0,6383,2003
0.25,0.28125,5837,2003
1,0.333333333,10296,2003
1,0.5,6002,2003
1,0.62745098,5849,2003
1,0,7553,2003
1,0.3,6046,2003
1,0.083333333,5919,2003
1,0.5,7022,2003
1,0.263157895,6868,2003
0.5,0.583333333,6935,2004
0.230769231,1,6500,2004
0,0.222222222,7387,2004
0.2,0.222222222,6953,2004
0.083333333,0.181818182,6383,2004
0.333333333,0,5908,2004
0.333333333,0,6170,2004
0,0.230769231,7926,2004
0.333333333,0.333333333,7022,2004
1,0.4,6086,2004
